IP地址,数据中心,地区,城市,网络延迟
162.159.23.11,SJC,北美洲,圣何塞,126 ms
198.217.251.101,SJC,北美洲,圣何塞,140 ms
104.16.1.69,SJC,北美洲,圣何塞,140 ms
108.162.195.137,SJC,北美洲,圣何塞,142 ms
104.16.13.238,SJC,北美洲,圣何塞,146 ms
103.21.244.136,SJC,北美洲,圣何塞,147 ms
162.159.242.10,LAX,北美洲,洛杉矶,148 ms
104.16.17.124,SJC,北美洲,圣何塞,151 ms
108.162.198.59,SJC,北美洲,圣何塞,153 ms
1.0.0.83,SJC,北美洲,圣何塞,153 ms
190.93.247.21,SJC,北美洲,圣何塞,155 ms
1.0.0.233,SJC,北美洲,圣何塞,156 ms
173.245.58.151,SJC,北美洲,圣何塞,157 ms
162.159.44.163,LAX,北美洲,洛杉矶,157 ms
23.227.60.190,SJC,北美洲,圣何塞,159 ms
198.41.223.231,SJC,北美洲,圣何塞,159 ms
1.0.0.74,SJC,北美洲,圣何塞,159 ms
104.16.14.237,SJC,北美洲,圣何塞,160 ms
1.0.0.208,SJC,北美洲,圣何塞,161 ms
162.159.16.123,SJC,北美洲,圣何塞,161 ms
1.0.0.123,SJC,北美洲,圣何塞,161 ms
198.41.200.230,SJC,北美洲,圣何塞,162 ms
162.159.10.107,SJC,北美洲,圣何塞,163 ms
162.159.7.67,SJC,北美洲,圣何塞,164 ms
1.0.0.87,SJC,北美洲,圣何塞,164 ms
162.159.36.107,SJC,北美洲,圣何塞,164 ms
104.31.16.24,SJC,北美洲,圣何塞,164 ms
5.10.246.246,SJC,北美洲,圣何塞,165 ms
141.101.120.185,SJC,北美洲,圣何塞,165 ms
104.16.0.129,SJC,北美洲,圣何塞,165 ms
104.16.19.170,SJC,北美洲,圣何塞,165 ms
162.159.45.51,LAX,北美洲,洛杉矶,166 ms
198.41.197.85,SJC,北美洲,圣何塞,166 ms
1.0.0.123,SJC,北美洲,圣何塞,167 ms
162.159.38.58,LAX,北美洲,洛杉矶,167 ms
108.162.193.239,SJC,北美洲,圣何塞,167 ms
1.0.0.10,SJC,北美洲,圣何塞,167 ms
162.159.241.122,LAX,北美洲,洛杉矶,167 ms
1.0.0.157,SJC,北美洲,圣何塞,168 ms
1.0.0.43,SJC,北美洲,圣何塞,168 ms
198.41.209.151,SJC,北美洲,圣何塞,169 ms
